Model,Dataset,LR,BatchSize,Optimizer,Avg_AUC,Fold_Scores
videomae_v2,mixed,0.0001,2,adamw,0.910055352055352,"[0.9173789173789174, 0.878917378917379, 0.9401709401709402, 0.8671428571428571, 0.9466666666666667]"
videomae_v2,mixed,0.0001,2,adam,0.8155482295482296,"[0.8945868945868947, 0.4772079772079772, 0.8447293447293447, 0.9071428571428571, 0.9540740740740741]"
videomae_v2,mixed,0.0001,4,adamw,0.9092836792836791,"[0.8831908831908832, 0.8803418803418803, 0.9715099715099715, 0.8528571428571429, 0.9585185185185185]"
videomae_v2,mixed,0.0001,4,adam,0.929999185999186,"[0.9615384615384615, 0.9316239316239316, 0.9601139601139601, 0.8885714285714286, 0.9081481481481481]"
videomae_v2,mixed,5e-05,2,adamw,0.9522767602767603,"[0.9629629629629628, 0.9615384615384615, 0.98005698005698, 0.9057142857142857, 0.9511111111111111]"
videomae_v2,mixed,5e-05,2,adam,0.964857142857143,"[0.9572649572649572, 0.9743589743589743, 0.9757834757834758, 0.9242857142857143, 0.9925925925925927]"
videomae_v2,mixed,5e-05,4,adamw,0.9693113553113551,"[0.9729344729344729, 0.9843304843304843, 0.9886039886039887, 0.9214285714285714, 0.9792592592592593]"
videomae_v2,mixed,5e-05,4,adam,0.9540122100122099,"[0.9586894586894587, 0.982905982905983, 0.962962962962963, 0.9114285714285715, 0.9540740740740741]"
videomae_v2,mixed,1e-05,2,adamw,0.9495238095238095,"[0.9202279202279201, 0.9743589743589743, 0.9757834757834759, 0.9142857142857144, 0.9629629629629629]"
videomae_v2,mixed,1e-05,2,adam,0.9432022792022792,"[0.9287749287749287, 0.9487179487179487, 0.962962962962963, 0.92, 0.9555555555555555]"
videomae_v2,mixed,1e-05,4,adamw,0.9304159544159545,"[0.9273504273504273, 0.9572649572649572, 0.9615384615384616, 0.88, 0.9259259259259258]"
videomae_v2,mixed,1e-05,4,adam,0.9140675620675621,"[0.8860398860398859, 0.9544159544159544, 0.9301994301994302, 0.8485714285714286, 0.951111111111111]"
r3d_18,mixed,0.0001,4,adamw,0.9730655270655271,"[0.98005698005698, 0.98005698005698, 0.9900284900284901, 0.93, 0.9851851851851852]"
r3d_18,mixed,0.0001,4,adam,0.9665429385429384,"[0.9672364672364672, 0.9900284900284901, 0.9629629629629629, 0.9228571428571428, 0.9896296296296296]"
r3d_18,mixed,0.0001,8,adamw,0.9686308506308506,"[0.9615384615384615, 0.9757834757834758, 0.9957264957264957, 0.9471428571428571, 0.9629629629629629]"
r3d_18,mixed,0.0001,8,adam,0.9675115995115995,"[0.9772079772079771, 0.9843304843304843, 0.9857549857549857, 0.9228571428571429, 0.9674074074074074]"
r3d_18,mixed,5e-05,4,adamw,0.9682629222629222,"[0.9729344729344729, 0.9572649572649572, 0.98005698005698, 0.9414285714285714, 0.9896296296296296]"
r3d_18,mixed,5e-05,4,adam,0.9690858770858771,"[0.9586894586894587, 0.9786324786324786, 0.9957264957264957, 0.9257142857142857, 0.9866666666666667]"
r3d_18,mixed,5e-05,8,adamw,0.9626178266178267,"[0.9586894586894588, 0.9886039886039887, 0.9715099715099715, 0.9342857142857143, 0.96]"
r3d_18,mixed,5e-05,8,adam,0.9543923483923484,"[0.9487179487179487, 0.9686609686609687, 0.9700854700854701, 0.9185714285714286, 0.9659259259259259]"
r3d_18,mixed,1e-05,4,adamw,0.9232266992266993,"[0.9173789173789174, 0.9173789173789173, 0.962962962962963, 0.8628571428571428, 0.9555555555555555]"
r3d_18,mixed,1e-05,4,adam,0.9207179487179488,"[0.9017094017094018, 0.9387464387464387, 0.9401709401709403, 0.86, 0.962962962962963]"
r3d_18,mixed,1e-05,8,adamw,0.9136996336996337,"[0.9102564102564102, 0.9259259259259259, 0.9301994301994302, 0.8628571428571429, 0.9392592592592592]"
r3d_18,mixed,1e-05,8,adam,0.9202962962962962,"[0.9002849002849003, 0.9301994301994301, 0.9658119658119658, 0.86, 0.9451851851851852]"
swinv2_tiny,mixed,0.0001,4,adamw,0.5626365486365487,"[0.5441595441595442, 0.5484330484330484, 0.5712250712250713, 0.5671428571428572, 0.5822222222222223]"
swinv2_tiny,mixed,0.0001,4,adam,0.5003899063899062,"[0.41880341880341876, 0.5569800569800569, 0.5085470085470085, 0.5242857142857142, 0.49333333333333335]"
swinv2_tiny,mixed,0.0001,8,adamw,0.5120398860398859,"[0.44871794871794873, 0.6438746438746439, 0.5042735042735043, 0.55, 0.41333333333333333]"
swinv2_tiny,mixed,0.0001,8,adam,0.4607700447700448,"[0.5356125356125356, 0.4444444444444444, 0.43162393162393164, 0.3914285714285714, 0.5007407407407407]"
swinv2_tiny,mixed,5e-05,4,adamw,0.49565160765160765,"[0.5954415954415955, 0.44017094017094016, 0.5555555555555556, 0.40857142857142853, 0.4785185185185185]"
swinv2_tiny,mixed,5e-05,4,adam,0.45072283272283276,"[0.39601139601139596, 0.5911680911680911, 0.396011396011396, 0.45857142857142863, 0.4118518518518519]"
swinv2_tiny,mixed,5e-05,8,adamw,0.4767464387464388,"[0.45014245014245013, 0.5811965811965811, 0.36609686609686615, 0.45, 0.5362962962962963]"
swinv2_tiny,mixed,5e-05,8,adam,0.552001628001628,"[0.5313390313390313, 0.5897435897435896, 0.5427350427350428, 0.4828571428571428, 0.6133333333333333]"
swinv2_tiny,mixed,1e-05,4,adamw,0.4792242572242572,"[0.4102564102564103, 0.5327635327635327, 0.4330484330484331, 0.5385714285714286, 0.4814814814814814]"
swinv2_tiny,mixed,1e-05,4,adam,0.5056206756206756,"[0.5626780626780628, 0.5242165242165242, 0.5028490028490029, 0.42428571428571427, 0.514074074074074]"
swinv2_tiny,mixed,1e-05,8,adamw,0.471034595034595,"[0.517094017094017, 0.433048433048433, 0.4245014245014245, 0.44571428571428573, 0.5348148148148149]"
swinv2_tiny,mixed,1e-05,8,adam,0.4752836792836792,"[0.4202279202279202, 0.4387464387464387, 0.5242165242165242, 0.5028571428571429, 0.49037037037037035]"
convnextv2_tiny,mixed,0.0001,4,adamw,0.5156784696784696,"[0.5056980056980056, 0.51994301994302, 0.5370370370370371, 0.5357142857142857, 0.4799999999999999]"
convnextv2_tiny,mixed,0.0001,4,adam,0.4736931216931217,"[0.4301994301994302, 0.5099715099715099, 0.3746438746438747, 0.5114285714285715, 0.5422222222222223]"
convnextv2_tiny,mixed,0.0001,8,adamw,0.5351599511599512,"[0.5028490028490028, 0.5313390313390314, 0.584045584045584, 0.5657142857142857, 0.4918518518518519]"
convnextv2_tiny,mixed,0.0001,8,adam,0.5027073667073667,"[0.5427350427350428, 0.5356125356125355, 0.38746438746438755, 0.6314285714285715, 0.4162962962962963]"
convnextv2_tiny,mixed,5e-05,4,adamw,0.49865852665852667,"[0.5683760683760684, 0.49572649572649563, 0.37606837606837606, 0.5257142857142857, 0.5274074074074074]"
convnextv2_tiny,mixed,5e-05,4,adam,0.4451241351241351,"[0.5014245014245013, 0.45441595441595434, 0.41025641025641024, 0.47285714285714286, 0.3866666666666666]"
convnextv2_tiny,mixed,5e-05,8,adamw,0.48105168905168905,"[0.5356125356125356, 0.621082621082621, 0.42877492877492884, 0.38571428571428573, 0.434074074074074]"
convnextv2_tiny,mixed,5e-05,8,adam,0.5146813186813187,"[0.6452991452991453, 0.4943019943019943, 0.51994301994302, 0.44571428571428573, 0.46814814814814815]"
convnextv2_tiny,mixed,1e-05,4,adamw,0.480979242979243,"[0.49287749287749283, 0.5028490028490029, 0.5313390313390314, 0.45857142857142863, 0.4192592592592592]"
convnextv2_tiny,mixed,1e-05,4,adam,0.38564672364672364,"[0.44729344729344733, 0.329059829059829, 0.3418803418803419, 0.33, 0.48000000000000004]"
convnextv2_tiny,mixed,1e-05,8,adamw,0.4308799348799349,"[0.3846153846153847, 0.45014245014245013, 0.47720797720797725, 0.4942857142857143, 0.3481481481481481]"
convnextv2_tiny,mixed,1e-05,8,adam,0.4097688237688238,"[0.48005698005698, 0.40028490028490027, 0.37606837606837606, 0.40428571428571425, 0.38814814814814813]"
